SEASON_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_ID,GAME_DATE,HWIN,HPLUSMINUS,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
22011,Minnesota Timberwolves,New Orleans Hornets,21100600,2012-03-10,L,-6.0,0.005,0.0066,4,4,0.6,0.2,0.3,0.7,0.7,0.3,0.512,0.225,97.7,88.5,96.6,94.0
22011,Milwaukee Bucks,Boston Celtics,21100694,2012-03-22,L,-9.0,0.0079,0.0588,2,3,0.7,0.6,0.3,0.7,0.4,0.4,0.467,0.5329999999999999,98.0,91.1,98.4,90.6
22011,Cleveland Cavaliers,Charlotte Bobcats,21100854,2012-04-10,W,13.0,0.005,0.005,4,5,0.1,0.0,0.5,0.5,0.1,0.1,0.33299999999999996,0.127,93.6,88.1,99.9,101.2
22011,Atlanta Hawks,Toronto Raptors,21100189,2012-01-16,W,9.0,0.0196,0.004,4,5,0.6,0.3,0.8,0.2,0.7,0.2,0.6920000000000001,0.308,98.8,86.2,91.5,91.8
22011,Milwaukee Bucks,Indiana Pacers,21100717,2012-03-24,L,-21.0,0.0079,0.0149,3,4,0.8,0.4,0.7,0.3,0.4,0.3,0.46799999999999997,0.5870000000000001,98.1,95.6,98.3,93.0
22011,San Antonio Spurs,Washington Wizards,21100614,2012-03-12,W,15.0,0.0294,0.0066,2,3,0.6,0.2,1.0,0.0,0.6,0.3,0.667,0.231,99.7,93.6,95.9,102.0
22011,Atlanta Hawks,Charlotte Bobcats,21100154,2012-01-12,W,30.0,0.0196,0.005,5,4,0.6,0.2,0.5,0.5,0.7,0.3,0.636,0.2,98.2,90.9,92.5,101.9
22011,Philadelphia 76ers,Sacramento Kings,21100132,2012-01-10,W,27.0,0.0079,0.005,4,4,0.7,0.3,0.7,0.3,0.6,0.4,0.75,0.33299999999999996,100.3,93.8,85.6,102.3
22011,Charlotte Bobcats,Orlando Magic,21100039,2011-12-30,L,-21.0,0.005,0.0385,2,3,0.3,0.5,0.1,0.9,0.5,0.3,0.5,0.667,95.5,95.7,95.5,90.0
22011,Utah Jazz,Phoenix Suns,21100969,2012-04-24,W,12.0,0.0099,0.0099,2,3,0.6,0.5,0.3,0.7,0.8,0.6,0.531,0.516,99.7,98.4,99.3,98.4
22011,San Antonio Spurs,New Orleans Hornets,21100328,2012-02-02,W,12.0,0.0294,0.0066,4,4,0.5,0.1,0.8,0.2,0.9,0.2,0.609,0.182,97.9,88.1,94.4,93.4
22011,New Jersey Nets,Oklahoma City Thunder,21100231,2012-01-21,L,-10.0,0.0244,0.125,3,3,0.3,0.7,0.16666666666666666,0.8333333333333334,0.2,0.7,0.267,0.8,92.5,100.2,100.7,95.7
22011,New Orleans Hornets,Minnesota Timberwolves,21100830,2012-04-07,W,9.0,0.0066,0.005,4,3,0.3,0.3,0.7,0.3,0.3,0.2,0.255,0.446,89.2,98.8,94.3,99.4
22011,Minnesota Timberwolves,Dallas Mavericks,21100398,2012-02-10,L,-7.0,0.005,0.1053,4,3,0.6,0.6,0.3,0.7,0.5,0.6,0.5,0.5770000000000001,96.2,94.2,94.8,91.3
22011,Milwaukee Bucks,New York Knicks,21100861,2012-04-11,L,-4.0,0.0079,0.0588,4,3,0.6,0.6,0.8,0.2,0.6,0.3,0.491,0.509,98.9,97.0,98.4,94.6
22011,New Orleans Hornets,Denver Nuggets,21100104,2012-01-06,L,-8.0,0.0066,0.0149,4,4,0.3,0.6,0.4,0.6,0.5,0.3,0.33299999999999996,0.7140000000000001,87.2,103.3,91.0,93.6
22011,Cleveland Cavaliers,Los Angeles Clippers,21100377,2012-02-08,W,7.0,0.005,0.0476,3,4,0.3,0.7,0.9,0.1,0.5,0.5,0.391,0.682,93.4,99.4,97.1,97.2
22011,Atlanta Hawks,Chicago Bulls,21100749,2012-03-28,L,-21.0,0.0196,0.1538,5,3,0.6,0.7,0.3,0.7,0.7,0.9,0.588,0.784,94.9,97.5,93.0,89.1
22011,Utah Jazz,San Antonio Spurs,21100850,2012-04-09,W,7.0,0.0099,0.0294,4,4,0.4,1.0,0.4,0.6,0.8,0.8,0.509,0.741,99.2,102.3,99.3,96.4
22011,Boston Celtics,Toronto Raptors,21100317,2012-02-01,W,36.0,0.0588,0.004,4,4,0.6,0.3,0.9,0.1,0.4,0.3,0.5,0.318,89.8,87.0,88.0,93.2
22011,Oklahoma City Thunder,New Orleans Hornets,21100475,2012-02-20,W,8.0,0.125,0.0066,4,3,0.7,0.3,0.7,0.3,0.9,0.3,0.774,0.233,102.3,87.3,96.5,92.5
22011,Memphis Grizzlies,Sacramento Kings,21100078,2012-01-03,W,17.0,0.0385,0.005,3,4,0.3,0.3,0.7,0.3,0.8,0.5,0.25,0.4,88.5,93.0,97.5,98.8
22011,Indiana Pacers,Milwaukee Bucks,21100932,2012-04-19,W,9.0,0.0149,0.0079,4,3,0.9,0.5,0.4,0.6,0.8,0.8,0.645,0.475,97.3,99.5,93.9,99.0
22011,Atlanta Hawks,Boston Celtics,21100938,2012-04-20,W,5.0,0.0196,0.0588,4,5,0.7,0.7,0.5,0.5,0.7,0.6,0.597,0.5870000000000001,96.0,92.1,92.8,89.8
22011,Charlotte Bobcats,Houston Rockets,21100134,2012-01-10,L,-12.0,0.005,0.0149,5,4,0.3,0.3,0.2,0.8,0.4,0.2,0.222,0.25,93.2,95.6,104.1,102.3
22011,Portland Trail Blazers,Los Angeles Lakers,21100097,2012-01-05,W,11.0,0.0294,0.1818,3,4,0.6,0.4,0.5,0.5,0.8,0.3,0.8,0.5710000000000001,102.0,94.7,94.0,89.7
22011,Detroit Pistons,Miami Heat,21100704,2012-03-23,L,-15.0,0.005,0.3077,3,3,0.5,0.6,0.1,0.9,0.7,0.6,0.348,0.7559999999999999,90.8,101.8,96.3,93.6
22011,Houston Rockets,Dallas Mavericks,21100716,2012-03-24,L,-2.0,0.0149,0.1053,4,4,0.5,0.5,0.3,0.7,0.7,0.2,0.542,0.551,98.1,94.9,97.5,93.2
22011,Los Angeles Lakers,Dallas Mavericks,21100894,2012-04-15,W,4.0,0.1818,0.1053,3,3,0.7,0.6,0.5,0.5,0.6,0.5,0.633,0.5670000000000001,96.9,95.0,94.7,93.7
